2026-02-05 00:02:03 | INFO     | src.services.paper_service:_save_paper:134 - Saved new paper: Decision-oriented benchmarking to transform AI wea...
2026-02-05 00:02:03 | INFO     | src.services.paper_service:_save_paper:134 - Saved new paper: FOVI: A biologically-inspired foveated interface f...
2026-02-05 00:02:03 | INFO     | src.services.paper_service:_save_paper:134 - Saved new paper: Conditional Flow Matching for Visually-Guided Acou...
2026-02-05 00:02:03 | INFO     | src.services.paper_service:_save_paper:134 - Saved new paper: RAWDet-7: A Multi-Scenario Benchmark for Object De...
2026-02-05 00:02:03 | INFO     | src.services.paper_service:_save_paper:134 - Saved new paper: Test-Time Conditioning with Representation-Aligned...
2026-02-05 00:02:03 | INFO     | src.services.paper_service:_save_paper:134 - Saved new paper: Zero-shot large vision-language model prompting fo...
2026-02-05 00:02:03 | INFO     | src.services.paper_service:fetch_and_save_papers:50 - Fetched 50 papers from arXiv
2026-02-05 00:02:03 | INFO     | src.crawlers.openreview_crawler:fetch_papers:50 - Fetching papers from OpenReview for venues: ['ICLR', 'NeurIPS', 'ICML']
2026-02-05 00:02:09 | INFO     | src.services.paper_service:fetch_and_save_papers:57 - Fetched 0 papers from OpenReview
2026-02-05 00:02:09 | INFO     | __main__:run_fetch:27 - Fetched and saved 50 papers
2026-02-05 00:02:33 | INFO     | __main__:run_generate:36 - Running generate briefings task...
2026-02-05 00:02:33 | INFO     | src.models.database:init_database:183 - Initializing database...
2026-02-05 00:02:33 | INFO     | src.models.database:init_database:185 - Database initialized successfully
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: EventNeuS: 3D Mesh Reconstruction from a Single Ev...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: PLATE: Plasticity-Tunable Efficient Adapters for G...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: Parallel-Probe: Towards Efficient Parallel Thinkin...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: Investigating Quantum Circuit Designs Using Neuro-...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: Understanding and Exploiting Weight Update Sparsit...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: PrevizWhiz: Combining Rough 3D Scenes and 2D Video...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: Accelerating Scientific Research with Gemini: Case...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: AutoFigure: Generating and Refining Publication-Re...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: Continuous Control of Editing Models via Adaptive-...
2026-02-05 00:02:33 | WARNING  | src.services.ai_service:generate_briefing:50 - No AI API key configured, using fallback summary
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:_generate_single_briefing:105 - Generated briefing for paper: Robust Intervention Learning from Emergency Stop I...
2026-02-05 00:02:33 | INFO     | src.services.briefing_service:generate_briefings:44 - Generated 10 briefings
2026-02-05 00:02:33 | INFO     | __main__:run_generate:42 - Generated 10 briefings
2026-02-05 00:28:16 | INFO     | __main__:run_all:87 - Running complete workflow...
2026-02-05 00:28:16 | INFO     | src.models.database:init_database:183 - Initializing database...
2026-02-05 00:28:16 | INFO     | src.models.database:init_database:185 - Database initialized successfully
2026-02-05 00:28:16 | INFO     | src.crawlers.arxiv_crawler:fetch_papers:52 - Fetching papers from arXiv with query: (cat:cs.AI OR cat:cs.CL OR cat:cs.CV OR cat:cs.LG)
2026-02-05 00:28:17 | INFO     | src.services.paper_service:fetch_and_save_papers:50 - Fetched 0 papers from arXiv
2026-02-05 00:28:17 | INFO     | src.crawlers.openreview_crawler:fetch_papers:50 - Fetching papers from OpenReview for venues: ['ICLR', 'NeurIPS', 'ICML']
2026-02-05 00:28:23 | INFO     | src.services.paper_service:fetch_and_save_papers:57 - Fetched 0 papers from OpenReview
2026-02-05 00:28:23 | INFO     | src.services.briefing_service:generate_briefings:44 - Generated 0 briefings
2026-02-05 08:40:37 | INFO     | __main__:run_fetch:21 - Running fetch papers task...
2026-02-05 08:40:37 | INFO     | src.models.database:init_database:320 - Initializing database...
2026-02-05 08:40:37 | INFO     | src.models.database:init_database:322 - Database initialized successfully
2026-02-05 08:40:37 | INFO     | src.crawlers.arxiv_crawler:fetch_papers:52 - Fetching papers from arXiv with query: (cat:cs.AI OR cat:cs.CL OR cat:cs.CV OR cat:cs.LG)
2026-02-05 08:40:39 | INFO     | src.services.paper_service:fetch_and_save_papers:57 - Fetched 0 papers from arXiv
2026-02-05 08:40:39 | INFO     | src.crawlers.openreview_crawler:fetch_papers:50 - Fetching papers from OpenReview for venues: ['ICLR', 'NeurIPS', 'ICML']
2026-02-05 08:40:45 | INFO     | src.services.paper_service:fetch_and_save_papers:64 - Fetched 0 papers from OpenReview
2026-02-05 08:40:45 | INFO     | __main__:run_fetch:27 - Fetched and saved 0 papers
2026-02-05 08:41:07 | INFO     | __main__:run_fetch:21 - Running fetch papers task...
2026-02-05 08:41:07 | INFO     | src.models.database:init_database:320 - Initializing database...
2026-02-05 08:41:07 | INFO     | src.models.database:init_database:322 - Database initialized successfully
2026-02-05 08:41:07 | INFO     | src.crawlers.arxiv_crawler:fetch_papers:52 - Fetching papers from arXiv with query: (cat:cs.AI OR cat:cs.CL OR cat:cs.CV OR cat:cs.LG)
2026-02-05 08:41:09 | INFO     | src.services.paper_service:fetch_and_save_papers:57 - Fetched 0 papers from arXiv
2026-02-05 08:41:09 | INFO     | src.crawlers.openreview_crawler:fetch_papers:50 - Fetching papers from OpenReview for venues: ['ICLR', 'NeurIPS', 'ICML']
2026-02-05 08:41:14 | INFO     | src.services.paper_service:fetch_and_save_papers:64 - Fetched 0 papers from OpenReview
2026-02-05 08:41:14 | INFO     | __main__:run_fetch:27 - Fetched and saved 0 papers
2026-02-05 08:42:26 | INFO     | __main__:run_bot:68 - Starting Telegram bot...
2026-02-05 08:42:26 | INFO     | src.models.database:init_database:320 - Initializing database...
2026-02-05 08:42:26 | INFO     | src.models.database:init_database:322 - Database initialized successfully
2026-02-05 08:42:26 | INFO     | src.services.user_service:init_research_fields:90 - Research fields initialized successfully
2026-02-05 08:42:26 | INFO     | src.bot.telegram_bot:initialize:70 - Telegram bot initialized
2026-02-05 08:42:28 | INFO     | src.bot.telegram_bot:start:81 - Telegram bot started
2026-02-05 08:42:37 | INFO     | src.services.user_service:get_or_create_user:131 - Created new user: 5874263739
2026-02-05 08:42:52 | INFO     | src.services.user_service:set_user_research_fields:182 - Set research fields for user 5874263739: [2, 5, 1]
